Run!	Chạy!
Help!	Giúp tôi với!
Hello!	Chào bạn.
Hurry!	Nhanh lên nào!
Help me!	Cứu tôi với!
You run.	Bạn chạy.
Cheer up.	Đừng có rầu rĩ quá như thế.
He tries.	Hắn thử.
He tries.	Anh thử.
Hurry up.	Thoáng cái chân lên!
I'm bald.	Tôi bị hói
I'm busy.	Tôi đang bận.
Too late.	Muộn quá.
I will go.	Tôi sẽ đi.
It's cold.	Lạnh.
It's ours.	Đó là của chúng tôi.
It's ours.	Đó là của chúng ta.
She cried.	Nó đã khóc.
She cried.	Cô ấy đã khóc
What's up?	Gì thế?
What's up?	Có chuyện gì?
I can read.	Tôi đọc được.
I hate you.	Tôi ghét anh.
I love you.	Anh phải lòng em.
I will try.	Tôi sẽ thử.
Let me try.	Để tôi thử.
No kidding?	Không đùa chứ?
Who's here?	Ai đây?
I am eating.	Tôi đang ăn.
I am single.	Tôi độc thân.
I am single.	Tôi đơn thân.
I am single.	Tao độc thân.
I heard you.	Tôi nghe bạn rồi.
I like jazz.	Tôi thích nhạc jazz.
I like math.	Tôi thích toán.
I saw a UFO.	Tôi nhìn thấy UFO.
I saw a dog.	Tôi thấy một con chó.
I'm nervous.	Tôi lo lắng.
I'm smashed.	Tôi đã say rượu
I'm thirsty.	Tôi khát nước.
It suits me.	Nó vừa với tôi.
Let's do it.	Thực hiện thôi.
Nobody came.	Không ai tới hết.
We miss Tom.	Chúng tôi nhớ Tom.
What's that?	Cái này là cái gì?
You're mine.	Em là của anh.
You're mine.	Anh là của em.
You're mine.	Mày là của tao.
Come with me.	Đi với tôi.
Don't be shy.	Đừng ngại.
Don't be shy.	Đừng ngượng.
Drive faster.	Lái nhanh hơn đi.
Hang on, Tom.	Chờ chút, Tom.
I am at home.	Tôi đang ở nhà.
I don't know.	Tôi không biết.
I hear music.	Tôi nghe nhạc.
I won't lose!	Tôi không thua đâu!
I'd buy that.	Lấy cho tôi cái kia.
I'm not free.	Tôi không rảnh.
I'm not free.	Em không rảnh.
I'm not free.	Mình không rảnh.
I'm not free.	Tao không rảnh.
I'm not free.	Tớ không rảnh.
I'm retiring.	Tôi sắp nghỉ hưu.
I'm starving!	Tôi đói quá rồi!
It's so easy.	Quá dễ.
It's so hard.	Việc này thật là khó.
It's the law.	Đó là luật.
Let Tom stay.	Để Tom ở lại.
Let me dream.	Hãy để tôi mơ mộng.
Let me dream.	Để tôi mơ đi.
Let's try it.	Thử nó xem sao.
Let's try it.	Thử nó đi.
My eyes hurt.	Mắt tớ đau.
Stop filming.	Dừng ghi hình.
That is mine.	Cái đó là của tôi.
Tom helps us.	Tom giúp đỡ chúng tôi.
Tom loves it.	Tom thích nó lắm.
Unbelievable!	Thật khó tin!
We need both.	Chúng ta cần cả hai.
We'll get it.	Chúng tôi sẽ nhận được nó
Won't you go?	Sao cậu chưa đi đi?
You're bossy.	Bạn thật hống hách.
He needs help.	Anh ấy cần giúp đỡ.
How beautiful!	Thật đẹp làm sao!
I can't go on.	Tôi không thể tiếp tục.
I could do it.	Tôi đã có thể làm điều này.
I could do it.	Tôi đã có thể làm được.
I hate moving.	Tớ ghét di chuyển.
I have a book.	Tôi có một cuốn sách.
I play tennis.	Tôi chơi môn quần vợt.
I'll kill you.	Tôi sẽ giết bạn
Isn't it true?	Không đúng hả?
Isn't it true?	Điều đó không đúng ư?
It gets worse.	Tình hình trở nên xấu đi.
It gets worse.	Nó trở nên tệ hơn.
It is raining.	Đang mưa.
It is the law.	Đó là luật.
It works well.	Cái đó dùng tốt lắm.
It works well.	Dùng được lắm.
It works well.	Rất hiệu quả.
It's very big.	To quá.
Just enjoy it.	Hãy hưởng thụ đi.
Just stay put.	Ở yên đó.
Let me finish.	Để tui làm xong đã.
Let me finish.	Để tôi hoàn tất.
May I ask why?	Tôi có thể hỏi tại sao không?
May I go home?	Con về nhà được không?
May I go home?	Tôi có thể về nhà không?
Oh, I'm sorry.	Ờ, xin lỗi nghe.
She's my type.	Cô ấy là mẫu người của tôi.
They all left.	Tất cả họ đều đã rời đi.
Tom was happy.	Tom rất vui.
We'll hide it.	Chúng tôi sẽ giấu nó.
Where are you?	Bạn đang ở đâu?
You know this.	Bạn biết điều này.
You look pale.	Bạn trông tái nhợt.
You may enter.	Bạn có thể vào.
You're joking!	Đang đùa đấy à!
Are you hungry?	Bạn có đói bụng không?
Don't sweat it.	Đừng làm ướt nó.
Here is my key.	Chìa khóa của tôi đây.
I am a shy boy.	Tôi là một thằng nhóc hay mắc cỡ.
I didn't drive.	Tôi không lái.
I don't get it.	Tôi không lấy được nó.
I don't get it.	Tôi không có nó.
I hate lawyers.	Tôi ghét luật sư.
I have a dream.	Tôi có ước mơ.
I owe him $100.	Tao nợ nó 100 đô la.
I want to stay.	Tớ muốn ở lại.
I'd rather not.	Tôi thà không.
It's up to you.	Tùy bạn.
Leave me alone!	Để tôi một mình.
Men are idiots.	Đàn ông ai cũng ngu.
Play us a tune.	Chơi một giai điệu cho chúng tôi đi.
Should I reply?	Tôi có nên trả lời không?
Should I reply?	Tao có nên trả lời không?
Their eyes met.	Ánh mắt họ chạm nhau.
They have come.	Họ đã đến.
This is on you.	Cái này tuỳ vào bạn.
You lied to us.	Bạn đã nói dối chúng tôi.
You were wrong.	Bạn đã sai.
Are we finished?	Chúng ta đã xong chưa?
Are you thirsty?	Bạn có khát nước không?
Congratulations!	Xin chúc mừng!
Did you miss me?	Có nhớ tôi không?
Give that to me.	Đưa nó cho tôi.
He had no money.	Anh ấy không có tiền.
He has a camera.	Nó có một máy ảnh.
He has a camera.	Nó có một máy ghi hình.
He has a camera.	Anh ấy có một máy ảnh.
How old are you?	Bạn bao nhiêu tuổi?
How old are you?	Mày bao nhiêu tuổi?
I could've died.	Tôi có thể đã chết.
I have bad news.	Tôi có tin xấu.
I have two cats.	Tôi có hai con mèo.
I stay in Osaka.	Tôi ở Osaka
I was kidnapped.	Tớ từng bị bắt cóc.
I will miss you.	Anh sẽ nhớ em.
I will miss you.	Tôi sẽ nhớ bạn.
I will miss you.	tao sẽ nhớ mày.
I will miss you.	con sẽ nhớ mẹ lắm.
I'm Azerbaijani.	Tôi là người Azerbaijan.
I'm almost done.	Tôi sắp xong rồi.
I'm getting hot.	Tôi đang nóng.
I'm getting hot.	Tôi đang bị nóng.
Is he satisfied?	Nó vừa lòng chưa?
Is he satisfied?	Ông ta hài lòng chưa?
It's two pounds.	cái này hai pound.
It's your party.	Nó là buổi tiệc của bạn.
Keep your seats.	Giữ ghế của các bạn.
Let's go by car.	Đi bằng ôtô nhé.
Let's go inside.	Chúng ta hãy vào trong nào.
